connector,exchange_symbol,trading_pair,base_asset,quote_asset,is_active,status_detail,permissions_spot,last_price,quote_volume_24h,volume_base_24h,bid_price,bid_quantity,ask_price,ask_quantity,spread_bps,top_of_book_quote,price_tick_estimate,amount_step_estimate,min_order_size_base_estimate,min_notional_quote_estimate,maker_fee_estimate,taker_fee_estimate,rule_estimate_source,raw_trade_side_type,book_crossed,coarse_volume_rank,coarse_spread_rank,coarse_top_rank,coarse_score
mexc,HYPEUSDT,HYPE-USDT,HYPE,USDT,True,1,True,37.54,16855583.63,443859.35,37.56,9.7,37.57,1.07,2.662052442432586,40.1999,0.01,0.0,0.0,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9930624380574826,0.9653121902874133,0.7646184340931615,94.04360753221012
mexc,BRLUSDT,BRL-USDT,BRL,USDT,True,1,True,0.1902,666956.0129,3511797.26,0.1902,80226.71,0.1903,133404.48,5.2562417871216285,15259.120242000003,0.0001,0.0,0.0,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9286422200198216,0.9152626362735381,0.9970267591674926,93.89742319127849
mexc,WXTUSDT,WXT-USDT,WXT,USDT,True,1,True,0.021148,1999574.742383,95586070.72,0.021156,3059.0,0.021162,65241.0,2.8356727633626644,64.716204,1e-06,0.0,0.0,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.964816650148662,0.9623389494549058,0.8126858275520317,93.37710604558968
mexc,CRVUSDT,CRV-USDT,CRV,USDT,True,1,True,0.2186,1116492.2334,5066703.545,0.2186,565.28,0.2187,3997.28,4.573519323119906,123.570208,0.0001,0.01,0.01,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9494549058473737,0.9276511397423192,0.8959365708622399,93.33002973240833
mexc,ARBUSDT,ARB-USDT,ARB,USDT,True,1,True,0.0965,2484864.09082,26094182.89,0.09657,683.49,0.09661,900.52,4.141215446733447,66.0046293,1e-05,0.0,0.0,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9712586719524281,0.9375619425173439,0.8136769078295342,93.13181367690783
mexc,LINKUSDT,LINK-USDT,LINK,USDT,True,1,True,9.064,31953016.164,3546635.93,9.062,327.36,9.066,4.17,4.413062665491323,37.805220000000006,0.001,0.01,0.01,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9955401387512388,0.9306243805748265,0.7547076313181368,93.11446977205154
mexc,ETHUSDT,ETH-USDT,ETH,USDT,True,1,True,2142.49,902877359.11,423821.54988,2143.16,0.00811,2143.17,0.0083,0.04665996318630754,17.381027599999996,0.01,0.0001,0.0001,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9995044598612488,0.9990089197224975,0.6446977205153618,92.84192269573836
mexc,LUNCUSDT,LUNC-USDT,LUNC,USDT,True,1,True,3.915e-05,464264.59065257,12317942126.85,3.915e-05,4574643.82,3.916e-05,5687738.06,2.553952241091769,179.097305553,1e-08,0.001,0.001,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9078295341922695,0.9663032705649157,0.9301288404360754,92.69078295341923
mexc,SHIBUSDT,SHIB-USDT,SHIB,USDT,True,1,True,6.031e-06,4925875.81327001,819716568840.0,6.033e-06,47906170.0,6.036e-06,7500000.0,4.971414367388597,45.27,1e-09,10000.0,10000.0,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9806739345887017,0.9226957383548068,0.7765113974231913,92.5346878097126
mexc,TIAUSDT,TIA-USDT,TIA,USDT,True,1,True,0.3272,598761.3245,1850102.46,0.3273,325.29,0.3274,472.49,3.054834275241927,106.467417,0.0001,0.0,0.0,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9236868186323092,0.9578790882061446,0.8780971258671952,92.31169474727454
mexc,PENDLEUSDT,PENDLE-USDT,PENDLE,USDT,True,1,True,1.231,609113.8,509685.71,1.232,1114.4,1.233,1115.68,8.113590263692592,1372.9408,0.001,0.0001,0.0001,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9241823587710605,0.8701684836471755,0.9846382556987116,92.27700693756195
mexc,MNTUSDT,MNT-USDT,MNT,USDT,True,1,True,0.7045,5614851.3946,8013065.91,0.7047,49.47,0.705,50.13,4.256224728665205,34.861509,0.0001,0.0,0.0,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9816650148662042,0.9345887016848364,0.7438057482656095,92.23240832507435
mexc,BCHUSDT,BCH-USDT,BCH,USDT,True,1,True,474.4,6661317.2,14003.79453,474.2,0.09449,474.5,3.55712,6.324443975967352,44.807158,0.1,0.001,0.001,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.985629335976214,0.8984142715559961,0.7755203171456888,92.18037661050545
mexc,PUMPUSDT,PUMP-USDT,PUMP,USDT,True,1,True,0.001794,2473856.617746,1367405783.58,0.001794,4101519.18,0.001795,29674.79,5.572582892170052,53.26624805,1e-06,0.0,0.0,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9707631318136769,0.9078295341922695,0.7973240832507433,92.03419226957384
mexc,ZENUSDT,ZEN-USDT,ZEN,USDT,True,1,True,5.578,816710.732,147365.96,5.579,29.52,5.581,14.12,3.5842293906822005,78.80372,0.001,0.001,0.001,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9380574826560951,0.9479682854311199,0.8275520317145689,91.8434093161546
mexc,CFXUSDT,CFX-USDT,CFX,USDT,True,1,True,0.06071,518501.67442,8558722.38,0.0607,1494.4,0.06071,1724.8,1.647310765176355,90.71008,1e-05,0.0001,0.0001,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9162537165510406,0.9757185332011893,0.8518334985133796,91.82358771060456
