symbol,session,n_probes,n_miss,max_n,has_min_month_file,has_session_bars,has_regular_bars,prior_close,prior_adv,has_quote_month_file,daily_eligible,first_trade_et,category
ASIX,2025-08-27,10,10,0,1,0,0,20.58,4883166.0,1,0,,no_session_bars_has_month_file
ASLE,2025-08-27,10,0,252,1,1,1,9.0,4874581.0,1,1,09:30,intra_session_sparse
ASM,2025-08-27,10,0,366,1,1,1,4.28,18253212.0,1,1,07:30,intra_session_sparse
ASPC,2025-08-27,10,10,0,0,0,0,10.31,2055.0,0,0,,no_minute_file
ASPI,2025-08-27,10,0,374,1,1,1,10.47,41875410.0,1,1,07:14,intra_session_sparse
ASPN,2025-08-27,10,0,320,1,1,1,7.12,19900293.0,1,1,04:23,intra_session_sparse
ASRT,2025-08-27,10,10,0,1,0,0,11.71,191322.0,1,0,,no_session_bars_has_month_file
ASST,2025-08-27,10,10,0,0,0,0,111.8,14078436.0,0,0,,no_minute_file
ASTC,2025-08-27,10,10,0,0,0,0,5.0,24250.0,0,0,,no_minute_file
ASTH,2025-08-27,10,10,0,0,0,0,30.29,13732045.0,0,0,,no_minute_file
ASTI,2025-08-27,10,0,59,1,1,1,2.13,341337.0,1,0,08:00,intra_session_sparse
ASTL,2025-08-27,10,0,249,1,1,1,4.96,5983079.0,1,1,09:30,intra_session_sparse
ASX,2025-08-27,10,0,371,1,1,1,10.04,71358630.0,1,1,08:00,intra_session_sparse
ASYS,2025-08-27,10,2,59,1,1,1,5.97,372493.0,1,0,09:30,intra_session_sparse
ATAI,2025-08-27,10,0,370,1,1,1,4.83,28503154.0,1,1,04:27,intra_session_sparse
ATCH,2025-08-27,10,10,0,0,0,0,0.187,7261658.0,0,0,,no_minute_file
ATCX,2025-08-27,10,10,0,0,0,0,,,0,0,,no_daily_history
ATEC,2025-08-27,10,0,343,1,1,1,16.05,47696969.0,1,1,09:30,intra_session_sparse
ATEN,2025-08-27,10,0,237,1,1,1,17.23,14396013.0,1,1,09:30,intra_session_sparse
ATER,2025-08-27,10,10,0,0,0,0,1.02,130565.0,0,0,,no_minute_file
ATEX,2025-08-27,10,10,0,0,0,0,22.76,4743112.0,0,0,,no_minute_file
ATII,2025-08-27,10,8,1,1,1,1,10.21,627378.0,1,0,09:30,intra_session_sparse
ATLX,2025-08-27,10,0,216,1,1,1,5.39,3660572.0,1,1,08:00,intra_session_sparse
ATOM,2025-08-27,10,1,171,1,1,1,3.38,1664436.0,1,0,04:01,intra_session_sparse
ATPC,2025-08-27,10,10,0,0,0,0,67.5,59481.0,0,0,,no_minute_file
ATRA,2025-08-27,10,2,36,1,1,1,12.64,630157.0,1,0,09:30,intra_session_sparse
ATYR,2025-08-27,10,0,368,1,1,1,5.14,20915760.0,1,1,04:01,intra_session_sparse
AUID,2025-08-27,10,2,22,1,1,1,4.38,250970.0,1,0,09:30,intra_session_sparse
AUNA,2025-08-27,10,10,0,0,0,0,6.15,150652.0,0,0,,no_minute_file
AUPH,2025-08-27,10,0,275,1,1,1,12.21,32803595.0,1,1,05:30,intra_session_sparse
AUR,2025-08-27,10,0,376,1,1,1,5.82,144729947.0,1,1,04:01,intra_session_sparse
